,Date,close,high,low,open,volume
3006,11/25/2013,6.871600151,6.880000114,6.854100227,6.871799946,0
3007,11/26/2013,6.869299889,6.877500057,6.861400127,6.86590004,0
3008,11/27/2013,6.869100094,6.880000114,6.861400127,6.868899822,0
3009,11/28/2013,6.868700027,6.875599861,6.862500191,6.868800163,0
3010,11/29/2013,6.863999844,6.871399879,6.858500004,6.863699913,0
3011,12/2/2013,6.867899895,6.880000114,6.773300171,6.867099762,0
3012,12/3/2013,6.868400097,6.880000114,6.862699986,6.868000031,0
3013,12/4/2013,6.869100094,6.880000114,6.857299805,6.868500233,0
3014,12/5/2013,6.868299961,6.875500202,6.858699799,6.868400097,0
3015,12/6/2013,6.870299816,6.880000114,6.860300064,6.870699883,0
3016,12/9/2013,6.759600163,6.874100208,6.756999969,6.759600163,0
3017,12/10/2013,6.867499828,6.873899937,6.862100124,6.868899822,0
3018,12/11/2013,6.867899895,6.876200199,6.862199783,6.867800236,0
3019,12/12/2013,6.869800091,6.876200199,6.86259985,6.869699955,0
3020,12/13/2013,6.8677001,6.875,6.861700058,6.8677001,0
3021,12/16/2013,6.867300034,6.876100063,6.759300232,6.867800236,0
3022,12/17/2013,6.867899895,6.875999928,6.863800049,6.867400169,0
3023,12/18/2013,6.867800236,6.886799812,6.865399837,6.868199825,0
3024,12/19/2013,6.875999928,6.900899887,6.871200085,6.875,0
3025,12/20/2013,6.888999939,6.896500111,6.880000114,6.889200211,0
3026,12/23/2013,6.783899784,6.905900002,6.776400089,6.78429985,0
3027,12/24/2013,6.888100147,6.904699802,6.880000114,6.888899803,0
3028,12/25/2013,6.898200035,6.906000137,6.88409996,6.898200035,0
3029,12/26/2013,6.904300213,6.904799938,6.887800217,6.90320015,0
3030,12/27/2013,6.890399933,6.929999828,6.852499962,6.889900208,0
3031,12/30/2013,6.91410017,6.938399792,6.883699894,6.913199902,0
3032,12/31/2013,6.918700218,6.937099934,6.914500237,6.919400215,0
3033,1/1/2014,6.937399864,6.937399864,6.928599834,6.937399864,0
3034,1/2/2014,6.925700188,6.947599888,6.921299934,6.925799847,0
3035,1/3/2014,6.939099789,6.946100235,6.934599876,6.939499855,0
3036,1/6/2014,6.935200214,6.945499897,6.867400169,6.936900139,0
3037,1/7/2014,6.940400124,6.945499897,6.933400154,6.940700054,0
3038,1/8/2014,6.939400196,6.948400021,6.928599834,6.939400196,0
3039,1/9/2014,6.941100121,6.953800201,6.932899952,6.940700054,0
3040,1/10/2014,6.942399979,6.963300228,6.930399895,6.941999912,0
3041,1/13/2014,6.939599991,6.945300102,6.808000088,6.939199924,0
3042,1/14/2014,6.936500072,6.957300186,6.934700012,6.936999798,0
3043,1/15/2014,6.943999767,6.965600014,6.932400227,6.943999767,0
3044,1/16/2014,6.947599888,6.957399845,6.933000088,6.947500229,0
3045,1/17/2014,6.944200039,6.949299812,6.938700199,6.944699764,0
3046,1/20/2014,6.88710022,6.952600002,6.879899979,6.887000084,0
3047,1/21/2014,6.942299843,6.957900047,6.937699795,6.942299843,0
3048,1/22/2014,6.945400238,6.951200008,6.936100006,6.946700096,0
3049,1/23/2014,6.945899963,6.952499866,6.936200142,6.941800117,0
3050,1/24/2014,6.944900036,6.951399803,6.937600136,6.945400238,0
3051,1/27/2014,6.868500233,6.951499939,6.866899967,6.868599892,0
3052,1/28/2014,6.942399979,6.9520998,6.937300205,6.942299843,0
3053,1/29/2014,6.944099903,6.954500198,6.936100006,6.944499969,0
3054,1/30/2014,6.944900036,6.960199833,6.936100006,6.945099831,0
3055,1/31/2014,6.943399906,6.953499794,6.936100006,6.943099976,0
3056,2/3/2014,6.882199764,6.950500011,6.878600121,6.882199764,0
3057,2/4/2014,6.943200111,6.950399876,6.936200142,6.943099976,0
3058,2/5/2014,6.943500042,6.950600147,6.930600166,6.943900108,0
3059,2/6/2014,6.942500114,6.949699879,6.934800148,6.942500114,0
3060,2/7/2014,6.941599846,6.949299812,6.920899868,6.94299984,0
3061,2/10/2014,6.952899933,6.952700138,6.821000099,6.952700138,0
3062,2/11/2014,6.944399834,6.950200081,6.936299801,6.943500042,0
3063,2/12/2014,6.943600178,6.950500011,6.935800076,6.943799973,0
3064,2/13/2014,6.942500114,6.95389986,6.9375,6.942699909,0
3065,2/14/2014,6.942800045,6.949500084,6.936600208,6.943999767,0
3066,2/17/2014,6.940700054,6.948200226,6.843800068,6.938700199,0
3067,2/18/2014,6.943500042,6.951300144,6.937099934,6.94299984,0
3068,2/19/2014,6.942900181,6.952300072,6.937099934,6.94299984,0
3069,2/20/2014,6.945099831,6.950300217,6.936900139,6.9447999,0
3070,2/21/2014,6.942399979,6.947100163,6.938799858,6.942800045,0
3071,2/24/2014,6.83589983,6.948500156,6.833399773,6.83589983,0
3072,2/25/2014,6.942200184,6.949699879,6.937300205,6.942299843,0
3073,2/26/2014,6.942399979,6.953299999,6.936200142,6.941500187,0
3074,2/27/2014,6.943799973,6.946199894,6.935299873,6.943500042,0
3075,2/28/2014,6.942500114,6.948900223,6.922699928,6.942699909,0
3076,3/3/2014,6.860000134,6.949699879,6.852399826,6.861400127,0
3077,3/4/2014,6.941999912,6.949100018,6.929800034,6.942299843,0
3078,3/5/2014,6.940999985,6.954599857,6.929999828,6.940599918,0
3079,3/6/2014,6.941999912,6.94960022,6.933100224,6.942200184,0
3080,3/7/2014,6.94299984,6.948599815,6.936500072,6.942800045,0
3081,3/10/2014,6.865300179,6.948800087,6.858500004,6.865300179,0
3082,3/11/2014,6.941999912,6.948200226,6.929999828,6.942800045,0
3083,3/12/2014,6.941800117,6.948599815,6.936500072,6.941699982,0
3084,3/13/2014,6.942900181,6.959899902,6.935299873,6.943200111,0
3085,3/14/2014,6.941800117,6.947999954,6.935299873,6.941999912,0
3086,3/17/2014,6.840000153,6.948400021,6.839799881,6.841700077,0
3087,3/18/2014,6.942200184,6.949500084,6.935100079,6.942599773,0
3088,3/19/2014,6.942100048,6.947100163,6.935900211,6.942399979,0
3089,3/20/2014,6.945000172,6.948699951,6.934000015,6.945400238,0
3090,3/21/2014,6.940700054,6.948800087,6.934999943,6.940700054,0
3091,3/24/2014,6.941599846,6.949200153,6.845399857,6.942299843,0
3092,3/25/2014,6.942800045,6.948999882,6.934599876,6.94299984,0
3093,3/26/2014,6.944300175,6.950799942,6.937300205,6.942900181,0
3094,3/27/2014,6.947500229,6.956200123,6.939799786,6.945300102,0
3095,3/28/2014,6.949800014,6.955900192,6.940000057,6.949399948,0
3096,3/31/2014,6.848800182,6.955999851,6.844399929,6.850900173,0
3097,4/1/2014,6.950099945,6.956299782,6.940000057,6.950500011,0
3098,4/2/2014,6.950300217,6.961400032,6.94630003,6.950900078,0
3099,4/3/2014,6.953499794,6.964099884,6.940000057,6.953299999,0
3100,4/4/2014,6.953400135,6.960400105,6.940000057,6.953700066,0
3101,4/7/2014,6.951499939,6.959899902,6.940000057,6.950500011,0
3102,4/8/2014,6.957699776,6.963200092,6.940000057,6.956699848,0
3103,4/9/2014,6.956799984,6.963099957,6.940000057,6.95720005,0
3104,4/10/2014,6.957099915,6.963600159,6.949699879,6.957300186,0
3105,4/11/2014,6.958099842,6.963699818,6.949999809,6.95690012,0
3106,4/14/2014,6.975699902,6.977900028,6.940000057,6.97660017,0
3107,4/15/2014,6.962100029,6.967999935,6.949999809,6.962299824,0
3108,4/16/2014,6.96239996,6.976099968,6.952400208,6.962600231,0
3109,4/17/2014,6.966100216,6.979199886,6.959700108,6.966100216,0
3110,4/18/2014,6.974699974,6.976099968,6.897099972,6.970200062,0
3111,4/21/2014,6.900800228,6.986400127,6.897099972,6.900700092,0
3112,4/22/2014,6.984600067,6.9854002,6.960000038,6.984200001,0
3113,4/23/2014,6.972499847,6.98390007,6.965099812,6.972400188,0
3114,4/24/2014,6.97840023,6.983799934,6.96999979,6.97840023,0
3115,4/25/2014,6.978199959,6.982299805,6.972000122,6.97879982,0
3116,4/28/2014,6.974500179,6.988399982,6.96969986,6.975500107,0
3117,4/29/2014,6.982800007,6.987199783,6.975900173,6.98210001,0
3118,4/30/2014,6.981200218,7.001399994,6.975200176,6.981200218,0
3119,5/1/2014,6.98939991,6.993999958,6.868999958,6.98939991,0
3120,5/2/2014,6.989099979,6.995299816,6.980000019,6.989200115,0
3121,5/5/2014,6.989699841,7,6.984799862,6.989900112,0
3122,5/6/2014,6.997499943,7.002999783,6.987999916,6.997000217,0
3123,5/7/2014,6.996200085,7.019999981,6.991099834,6.996900082,0
3124,5/8/2014,7.011899948,7.045199871,7.008200169,7.010200024,0
3125,5/9/2014,7.026599884,7.032599926,7.019999981,7.026599884,0
3126,5/12/2014,7.026800156,7.043700218,7.022699833,7.025000095,0
3127,5/13/2014,7.036699772,7.044000149,7.031099796,7.035099983,0
3128,5/14/2014,7.036300182,7.092999935,7.029500008,7.036399841,0
3129,5/15/2014,7.086400032,7.100399971,7.079999924,7.086800098,0
3130,5/16/2014,7.093900204,7.105000019,7.088300228,7.093400002,0
3131,5/19/2014,6.99819994,7.119999886,6.992800236,6.99819994,0
3132,5/20/2014,7.09679985,7.139999866,7.091899872,7.097400188,0
3133,5/21/2014,7.097199917,7.139999866,7.092299938,7.097700119,0
3134,5/22/2014,7.108500004,7.119999886,7.09679985,7.106800079,0
3135,5/23/2014,7.115300179,7.120900154,7.108799934,7.115099907,0
3136,5/26/2014,7.114299774,7.129199982,7.106599808,7.115200043,0
3137,5/27/2014,7.126399994,7.132599831,7.119999886,7.126399994,0
3138,5/28/2014,7.127099991,7.139999866,7.110000134,7.127299786,0
3139,5/29/2014,7.130400181,7.139400005,7.0479002,7.130599976,0
3140,5/30/2014,7.131800175,7.139999866,7.119999886,7.132199764,0
3141,6/2/2014,7.136300087,7.139100075,7.116099834,7.130400181,0
3142,6/3/2014,7.122300148,7.139999866,7.119100094,7.122099876,0
3143,6/4/2014,7.130899906,7.139999866,7.124800205,7.130899906,0
3144,6/5/2014,7.131400108,7.140500069,7.123600006,7.131499767,0
3145,6/6/2014,7.131999969,7.138800144,7.124700069,7.132999897,0
3146,6/9/2014,7.133100033,7.138899803,7.03249979,7.033599854,0
3147,6/10/2014,7.130199909,7.138400078,7.125500202,7.130099773,0
3148,6/11/2014,7.131400108,7.138100147,7.125299931,7.131499767,0
3149,6/12/2014,7.13079977,7.138599873,7.125299931,7.130599976,0
3150,6/13/2014,7.130199909,7.1395998,7.12680006,7.130199909,0
3151,6/16/2014,7.134300232,7.137700081,7.125500202,7.133999825,0
3152,6/17/2014,7.131000042,7.139999866,7.119999886,7.131000042,0
3153,6/18/2014,7.131199837,7.137000084,7.125699997,7.13049984,0
3154,6/19/2014,7.132199764,7.136099815,7.119999886,7.131899834,0
3155,6/20/2014,7.130899906,7.139200211,7.126599789,7.133100033,0
3156,6/23/2014,7.135200024,7.138400078,7.123899937,7.135799885,0
3157,6/24/2014,7.130099773,7.138400078,7.125899792,7.133100033,0
3158,6/25/2014,7.133200169,7.139999866,7.125699997,7.132900238,0
3159,6/26/2014,7.131599903,7.13740015,7.119999886,7.130099773,0
3160,6/27/2014,7.131400108,7.138700008,7.12650013,7.132500172,0
3161,6/30/2014,7.13380003,7.139999866,7.125500202,7.134200096,0
3162,7/1/2014,7.132699966,7.137899876,7.124300003,7.132699966,0
3163,7/2/2014,7.130099773,7.136899948,7.125999928,7.131999969,0
3164,7/3/2014,7.133999825,7.146699905,7.126200199,7.133399963,0
3165,7/4/2014,7.131999969,7.13740015,7.129199982,7.1322999,0
3166,7/7/2014,7.135499954,7.139999866,7.12650013,7.134900093,0
3167,7/8/2014,7.132999897,7.139999866,7.124499798,7.132900238,0
3168,7/9/2014,7.131499767,7.136799812,7.119999886,7.131499767,0
3169,7/10/2014,7.131700039,7.138400078,7.127900124,7.130899906,0
3170,7/11/2014,7.130400181,7.136000156,7.127799988,7.130899906,0
3171,7/14/2014,7.135399818,7.139999866,7.126699924,7.130099773,0
3172,7/15/2014,7.131700039,7.138899803,7.126399994,7.131199837,0
3173,7/16/2014,7.131400108,7.136899948,7.125899792,7.131700039,0
3174,7/17/2014,7.131800175,7.136899948,7.124899864,7.132400036,0
3175,7/18/2014,7.12869978,7.137000084,7.125699997,7.129499912,0
3176,7/21/2014,7.035299778,7.139999866,7.025899887,7.035299778,0
3177,7/22/2014,7.132199764,7.139999866,7.125500202,7.132999897,0
3178,7/23/2014,7.130099773,7.139999866,7.124700069,7.131700039,0
3179,7/24/2014,7.130099773,7.139999866,7.125999928,7.130099773,0
3180,7/25/2014,7.131999969,7.142399788,7.126599789,7.131100178,0
3181,7/28/2014,7.132500172,7.139999866,7.128399849,7.1322999,0
3182,7/29/2014,7.131000042,7.138400078,7.119999886,7.131599903,0
3183,7/30/2014,7.131000042,7.13710022,7.119999886,7.131000042,0
